 Parameters used:

First geneneration spectra extracted for
excitation energies between 15020.-   20. keV
corresponding to y-channels   131 -    6
 Number of spectra=  126
 Ax0 =     0.0 Ax1 =    19.4 Ay0 =  -700.0 Ay1 =   120.0
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=16.0 Exponent n=4.2
 Normalization= 2 Stat/Tot= 2 Areacorr.= 0
 Experimental lower gamma threshold:      200.0 keV (ch=  10)
 Upper threshold for statistical gammas:  430.0 keV (ch=  22)
 Average energy entry point in g.s. band:  300.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = ****
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
 36  3620.    70452.    41124.    29327. 2.34    1000  1.00  2.40  2.34  2.14  1.96
 35  3500.    70609.    40731.    29878. 2.18    1000  1.00  2.36  2.18  2.03  1.84
 34  3380.    69752.    39374.    30378. 2.04    1000  1.00  2.30  2.04  1.95  1.71
 33  3260.    69190.    37800.    31390. 1.97    1000  1.00  2.20  1.97  1.90  1.65
 32  3140.    63752.    33699.    30053. 1.93    1000  1.00  2.12  1.93  1.85  1.62
 31  3020.    54937.    28857.    26080. 1.91    1000  1.00  2.11  1.91  1.86  1.59
 30  2900.    49800.    26963.    22837. 1.88    1000  1.00  2.18  1.88  1.85  1.55
 29  2780.    48417.    26307.    22111. 1.86    1000  1.00  2.19  1.86  1.84  1.52
 28  2660.    51025.    28130.    22894. 1.87    1000  1.00  2.23  1.87  1.85  1.52
 27  2540.    62115.    35687.    26428. 1.91    1000  1.00  2.35  1.91  1.87  1.53
 26  2420.    92527.    52732.    39795. 2.04    1000  1.00  2.33  2.04  1.94  1.61
 25  2300.   115473.    62834.    52640. 2.11    1000  1.00  2.19  2.11  1.97  1.63
 24  2180.    87500.    46351.    41148. 2.02    1000  1.00  2.13  2.02  2.01  1.56
 23  2060.    53286.    26846.    26439. 1.78    1000  1.00  2.02  1.78  1.86  1.37
 22  1940.    39725.    18114.    21611. 1.44    1000  1.00  1.84  1.44  1.57  1.13
 21  1820.    35075.    12776.    22299. 1.24    1000  1.00  1.57  1.24  1.37  0.99
 20  1700.    22169.     6604.    15564. 1.16    1000  1.00  1.42  1.16  1.30  0.93
 19  1580.    10466.     4251.     6215. 1.25    1000  1.00  1.68  1.25  1.47  0.93
 18  1460.     6494.     3456.     3038. 1.63    1000  1.00  2.14  1.63  1.89  1.09
 17  1340.    12615.     6798.     5817. 2.00    1000  1.00  2.17  2.00  2.48  1.23
 16  1220.    38176.    19017.    19159. 1.94    1000  1.00  1.99  1.94  2.48  1.16
 15  1100.    72275.    31699.    40576. 1.72    1000  1.00  1.78  1.72  1.96  1.02
 14   980.    75405.    25433.    49972. 1.43    1000  1.00  1.51  1.43  1.54  0.87
 13   860.    82433.    17017.    65416. 1.16    1000  1.00  1.26  1.16  1.21  0.73
 12   740.    64726.     4563.    60163. 0.99    1000  1.00  1.08  0.99  1.04  0.58
 11   620.    24565.     1421.    23144. 0.86    1000  1.00  1.06  0.86  1.05  0.43
 10   500.     6979.      877.     6101. 0.81    1000  1.00  1.14  0.81  1.17  0.27
  9   380.     3827.      664.     3163. 1.01    1000  1.00  1.21  1.01  2.06  0.30
  8   260.     1098.        0.     1098. 0.52    1000  1.00  1.00  0.52  1.00  0.32
  7   140.       76.        0.       76. 0.25    1000  1.00  1.00  0.25  1.00  0.25
  6    20.        0.        0.        0. 0.00    1000  1.00  0.00  0.00  0.00  0.00
